reporterISO,partnerISO,primaryValue
AGO,ARG,2706.1096099354304
AGO,AUS,62206.03984750126
AGO,AUT,34179.47067976519
AGO,AZE,3823.432494704163
AGO,BEL,61294699.630644836
AGO,BEN,4022.3623851674392
AGO,BGR,70.95166093190174
AGO,BHR,69.62546166214658
AGO,BHS,92926394.91845855
AGO,BLR,198.92989046327594
AGO,BOL,5781.592240483072
AGO,BRA,337690090.2182761
AGO,BWA,102780.92746875936
AGO,CAF,339.50701305732423
AGO,CAN,2678336728.0998063
AGO,CHE,46934149.0551593
AGO,CHL,108791.15115855115
AGO,CHN,15128650962.661478
AGO,CIV,12440.96726433279
AGO,CMR,794.3933625833486
AGO,COG,435550253.4353548
AGO,COL,24563.199774770434
AGO,CPV,5141.011469205928
AGO,CRI,641.8804465615036
AGO,CYP,137013.62515621618
AGO,CZE,1080863.6775442588
AGO,DEU,199920774.7450208
AGO,DNK,97674.57621746848
AGO,DOM,921740.3212623192
AGO,DZA,2549911.849242571
AGO,ECU,27251.405694564168
AGO,ESP,645532459.8433963
AGO,ETH,464.6557964466757
AGO,FJI,34.4811810136345
AGO,FRA,1467482303.6858253
AGO,GAB,6017455.362902009
AGO,GBR,51159479.60756642
AGO,GHA,1413171.327021067
AGO,GRC,1287165.9097481037
AGO,GRD,445.7501627566809
AGO,HKG,3995882.1643482377
AGO,HND,210262.92632296876
AGO,HRV,9077.834001474159
AGO,IDN,2242088.3998393323
AGO,IND,3393627839.798011
AGO,IRL,16620.811834185846
AGO,ISR,282743763.97526026
AGO,ITA,231276799.76220402
AGO,JPN,59273109.71335997
AGO,KAZ,71786.50337221262
AGO,KEN,10775.369066760779
AGO,KOR,75847269.83583364
AGO,KWT,1958.7963214283902
AGO,LBN,3826.7479928785515
AGO,MAC,863.0334581880669
AGO,MDG,2710.5384523967778
AGO,MEX,24189.874680334353
AGO,MOZ,153229.06362751266
AGO,MRT,10686.513715687182
AGO,MUS,1311260.9611806506
AGO,MWI,954.3661494975663
AGO,MYS,157391555.5430206
AGO,NAM,4100588.912193583
AGO,NCL,95914.70978650337
AGO,NGA,151422544.15863612
AGO,NLD,480224741.9503506
AGO,NOR,1713286.9971131382
AGO,NPL,5345.246156748224
AGO,NZL,54.94642504486144
AGO,PAK,1024394.7757377184
AGO,PAN,51701428.949852966
AGO,PER,267709684.58357224
AGO,PHL,821.5804476133296
AGO,POL,1304668.4246106977
AGO,PRT,574415203.0396767
AGO,ROU,162.45941054500867
AGO,RUS,1060.9594158041382
AGO,SAU,37310.62715565716
AGO,SDN,5394.978629364044
AGO,SEN,6403.380105008149
AGO,SGP,95333598.44288059
AGO,SLV,11482.233277540287
AGO,SRB,6693.327714454357
AGO,STP,14045999.267454354
AGO,SVK,9481.783689447426
AGO,SWE,44928.97886076575
AGO,SYC,39402.62427934122
AGO,SYR,5061.439513020618
AGO,TGO,4134286.972538427
AGO,THA,55181357.9300004
AGO,TUN,2343.3941096573903
AGO,TUR,183187.90513128202
AGO,TZA,2199535.3069703327
AGO,UGA,13952.942517094174
AGO,UKR,176950.12686598857
AGO,USA,8138848427.4514885
AGO,VEN,80456.53109823707
AGO,VNM,3106674.8373722825
AGO,WSM,2622.5590559408543
AGO,ZAF,1322525935.0993211
AGO,ZMB,25346.748805924995
AGO,ZWE,2329.3032424162416
AIA,ARE,2988.590054393282
AIA,ARM,881.92251438719
AIA,ATG,303081.6239142287
AIA,AUS,20432.08904948307
AIA,AUT,14116.728126908938
AIA,AZE,118045.66010054281
AIA,BEL,35757.51850634505
AIA,BHR,67.63616275751382
AIA,BLR,66.30996348775864
AIA,BRA,7680.019971152206
AIA,BRB,263986.5956411159
AIA,CAN,206207.40895605745
AIA,CHE,17619.88349796723
AIA,COL,73558.96869624042
AIA,CRI,244021.99183422155
AIA,CZE,16064.914854179286
AIA,DEU,773988.9586067213
AIA,DMA,5820.6885949554535
AIA,DNK,138.58782368941556
AIA,DOM,15033.79492194464
AIA,ESP,1357.5685241823269
AIA,FIN,1533.08635583698
AIA,FJI,16968.05655688256
AIA,FRA,10547.26279236289
AIA,GBR,22367.676883690747
AIA,GRD,41592.02344529281
AIA,GRL,219.4064071882958
AIA,GUY,389406.5867811324
AIA,HRV,5749.073834388674
AIA,IDN,22459.84773293873
AIA,IND,4688.114418584536
AIA,IRL,251335.82829400533
AIA,ISR,110737.63902455693
AIA,JAM,122353.81842834249
AIA,KAZ,13478.163178521821
AIA,KHM,1308.295579613478
AIA,KNA,10061.873859632497
AIA,KOR,105834.68032427206
AIA,KWT,3584.0535265133544
AIA,LAO,16378.560981476385
AIA,LBN,1759.2033313302368
AIA,LCA,48125.119100875716
AIA,LUX,16297.662826021318
AIA,MEX,250395.04242503006
AIA,NCL,190.9726948447449
AIA,NLD,879.2701158476796
AIA,NZL,96887.21303721411
AIA,PAK,35114.44116494259
AIA,PER,159.60808211503505
AIA,POL,78317.37167612198
AIA,ROU,102.11734377114831
AIA,RUS,56498.74129010987
AIA,SDN,1348.744657341011
AIA,SLV,0.006630996348775864
AIA,STP,148.53431821257936
AIA,SVK,73239.87586854243
AIA,SVN,20077.99384445844
AIA,SWE,92.17084924798452
AIA,SYC,64393.80712525142
AIA,THA,7974.4362090378545
AIA,UGA,67.63616275751382
AIA,UKR,2069.533960452947
AIA,URY,10.609594158041382
AIA,USA,1737324.358877451
AIA,VCT,12586.294169611469
AIA,VUT,197.60369119352075
AIA,ZAF,1061.6881623028687
ALB,AFG,104820.80098254423
ALB,AGO,201251.40228498235
ALB,ALB,17501.188663324137
ALB,AND,917.2935751108303
ALB,ARE,7740539.748628214
ALB,ARG,102296.38067256525
ALB,ARM,147680.24588285704
ALB,AUS,240861.658974395
ALB,AUT,26813622.010820907
ALB,BDI,35294.07883462874
ALB,BEL,2956251.829047172
ALB,BEN,9253.555404716719
ALB,BFA,1783.740670219247
ALB,BGR,10579128.708416566
ALB,BHR,97530.68359670005
ALB,BIH,2262699.5257902322
ALB,BLR,48936.75305396588
ALB,BLZ,6238.441364928333
ALB,BMU,1500.594473727978
ALB,BOL,197707.79783619655
ALB,BRA,2573949.874106518
ALB,BRB,1092.125098643385
ALB,BWA,433.0173235677615
ALB,CAF,859.377126801352
ALB,CAN,3432220.950716894
ALB,CHE,42589131.67105532
ALB,CHL,83610.89407205085
ALB,CHN,97855347.78753027
ALB,CIV,157466.37241172424
ALB,CMR,48447.38552342622
ALB,COG,46553.572966215834
ALB,COL,1048865.804663241
ALB,COM,43215.529404242065
